Index Name,Date,Open,High,Low,Close
NIFTY ALPHA 50,26-Jun-20,13945,14008.7,13830.25,13845.15
NIFTY ALPHA 50,29-Jun-20,13778,13786.1,13633.35,13692.1
NIFTY ALPHA 50,30-Jun-20,13718.95,13762.4,13649.6,13701.05
NIFTY ALPHA 50,01-Jul-20,13698.85,13707.7,13636.1,13676.1
NIFTY ALPHA 50,02-Jul-20,13684.1,13835.85,13680.5,13795.2
NIFTY ALPHA 50,03-Jul-20,13909.8,13951.45,13886.9,13940.55
NIFTY ALPHA 50,06-Jul-20,14064.85,14122,13991,14102.9
NIFTY ALPHA 50,07-Jul-20,14143.95,14240.15,14063.1,14186.2
NIFTY ALPHA 50,08-Jul-20,14227.8,14300.4,14067.45,14087
NIFTY ALPHA 50,09-Jul-20,14112.1,14168.6,14072.75,14146.7
NIFTY ALPHA 50,10-Jul-20,14117.45,14238.9,14071.15,14178.3
NIFTY ALPHA 50,13-Jul-20,14263.45,14294.55,14159.35,14217.2
NIFTY ALPHA 50,14-Jul-20,14199.75,14256.35,14046.5,14119.85
NIFTY ALPHA 50,15-Jul-20,14213.45,14290.2,14126.7,14162.4
NIFTY ALPHA 50,16-Jul-20,14189.3,14222.95,14043.65,14204.75
NIFTY ALPHA 50,17-Jul-20,14258.45,14370.4,14254.25,14350.7
NIFTY ALPHA 50,20-Jul-20,14409.15,14527.4,14408.5,14497.6
NIFTY ALPHA 50,21-Jul-20,14607.75,14655.65,14530.05,14559.2
NIFTY ALPHA 50,22-Jul-20,14605.9,14659.8,14487.5,14596.35
NIFTY ALPHA 50,23-Jul-20,14661.45,14748.25,14636.6,14682.7
NIFTY ALPHA 50,24-Jul-20,14627.25,14755.9,14557.75,14736.8
NIFTY ALPHA 50,27-Jul-20,14826.6,14827.05,14544.5,14652.35
NIFTY ALPHA 50,28-Jul-20,14730.95,14799.5,14668.05,14714.6
NIFTY ALPHA 50,29-Jul-20,14751.9,14855.6,14666.55,14690.05
NIFTY ALPHA 50,30-Jul-20,14780.55,14833.55,14580.6,14633.25
NIFTY ALPHA 50,31-Jul-20,14712.2,14836.85,14656.85,14805.65
NIFTY ALPHA 50,03-Aug-20,14857.15,15010.7,14845.45,14879.6
NIFTY ALPHA 50,04-Aug-20,14965.05,15089.6,14930.65,15064.2
NIFTY ALPHA 50,05-Aug-20,15168.95,15284.8,15132.8,15160.85
NIFTY ALPHA 50,06-Aug-20,15229.15,15302.3,15173.05,15265.5
NIFTY ALPHA 50,07-Aug-20,15285.05,15443.9,15250.6,15411.6
NIFTY ALPHA 50,10-Aug-20,15592.1,15687.05,15550.55,15665.8
NIFTY ALPHA 50,11-Aug-20,15749.45,15779.4,15421.95,15438.45
NIFTY ALPHA 50,12-Aug-20,15394.2,15413.5,15306.95,15395.9
NIFTY ALPHA 50,13-Aug-20,15461.65,15532.6,15421,15436.85
NIFTY ALPHA 50,14-Aug-20,15494.4,15534,15164.7,15270.9
NIFTY ALPHA 50,17-Aug-20,15371.25,15382,15172,15300.35
NIFTY ALPHA 50,18-Aug-20,15364.35,15485.4,15343.55,15460
NIFTY ALPHA 50,19-Aug-20,15550.65,15600.05,15499.65,15519.4
NIFTY ALPHA 50,20-Aug-20,15467.45,15602.5,15432.45,15531.3
NIFTY ALPHA 50,21-Aug-20,15662,15704.9,15600.55,15616.1
NIFTY ALPHA 50,24-Aug-20,15723.6,15945.75,15717.75,15899.1
NIFTY ALPHA 50,25-Aug-20,16034.9,16093.95,15870.5,15965.05
NIFTY ALPHA 50,26-Aug-20,16009.4,16043,15960.05,15979.2
NIFTY ALPHA 50,27-Aug-20,16052.55,16077.9,15957.45,15974.95
NIFTY ALPHA 50,28-Aug-20,16053.55,16102.45,16000.7,16019.3
NIFTY ALPHA 50,31-Aug-20,16101.5,16119.5,15339.15,15442.25
NIFTY ALPHA 50,01-Sep-20,15462.1,15722.85,15391.3,15680.55
NIFTY ALPHA 50,02-Sep-20,15769.45,16037.6,15750.35,16022.3
NIFTY ALPHA 50,03-Sep-20,16134.9,16260.4,16117.4,16194.05
NIFTY ALPHA 50,04-Sep-20,15888.25,16136.15,15845.85,15989.5
NIFTY ALPHA 50,07-Sep-20,16010.65,16055.8,15812.75,15990.4
NIFTY ALPHA 50,08-Sep-20,16040.2,16148.65,15907.75,15954.5
NIFTY ALPHA 50,09-Sep-20,15786.8,16002.2,15724.9,15974.85
NIFTY ALPHA 50,10-Sep-20,16090.3,16205.85,16016.3,16088.7
NIFTY ALPHA 50,11-Sep-20,16146.05,16212.9,16113.65,16199.2
NIFTY ALPHA 50,14-Sep-20,16393.3,16770.9,16369.95,16677.8
NIFTY ALPHA 50,15-Sep-20,16808.25,16977.55,16786.25,16952.85
NIFTY ALPHA 50,16-Sep-20,17063.2,17076.85,16918.5,17019.85
NIFTY ALPHA 50,17-Sep-20,16984.25,17043.7,16886.65,16942
NIFTY ALPHA 50,18-Sep-20,17075.15,17087.5,16838.9,16903.55
NIFTY ALPHA 50,21-Sep-20,16987.4,17030.35,16279.1,16359.8
NIFTY ALPHA 50,22-Sep-20,16320.35,16345.5,15728.25,16124.25
NIFTY ALPHA 50,23-Sep-20,16278.25,16359.35,15918.05,16080.15
NIFTY ALPHA 50,24-Sep-20,15859.95,15968.55,15725.85,15935.25
NIFTY ALPHA 50,25-Sep-20,16231,16423.7,16105.85,16411.2
NIFTY ALPHA 50,28-Sep-20,16668.7,16961.7,16650.15,16940.75
NIFTY ALPHA 50,29-Sep-20,17124.45,17156.2,16848,16918.3
NIFTY ALPHA 50,30-Sep-20,17065,17069.35,16880.95,16926.65
NIFTY ALPHA 50,01-Oct-20,17104.1,17127.45,16913.55,16957.45
NIFTY ALPHA 50,05-Oct-20,17059.1,17072.7,16896.35,16984.95
NIFTY ALPHA 50,06-Oct-20,17089,17111.55,16958.35,16990.4
NIFTY ALPHA 50,07-Oct-20,17018.05,17047.4,16897.6,16917.2
NIFTY ALPHA 50,08-Oct-20,16979.55,17028.25,16784.05,16824.25
NIFTY ALPHA 50,09-Oct-20,16884.35,16933.8,16667.35,16691.4
NIFTY ALPHA 50,12-Oct-20,16755.1,16791.35,16606.9,16748.75
NIFTY ALPHA 50,13-Oct-20,16771.1,16901.6,16736.3,16831.55
NIFTY ALPHA 50,14-Oct-20,16845.6,16898.1,16764,16860.25
NIFTY ALPHA 50,15-Oct-20,16907.25,16929.35,16521.4,16548.95
NIFTY ALPHA 50,16-Oct-20,16622.3,16720.3,16446.7,16688.6
NIFTY ALPHA 50,19-Oct-20,16807.75,16816.4,16673.05,16724.6
NIFTY ALPHA 50,20-Oct-20,16685.35,16807.7,16656.9,16757.7
NIFTY ALPHA 50,21-Oct-20,16836.55,16911.15,16566.65,16758.85
NIFTY ALPHA 50,22-Oct-20,16735.75,16921.3,16657.4,16872.85
NIFTY ALPHA 50,23-Oct-20,16976.25,17001.05,16871.45,16908.45
